,Alive,Currently Infected,Dead,Time Step,Total Infected So Far
0,1978.0,37.0,22.0,0.0,87.0
1,1962.0,37.0,38.0,1.0,124.0
2,1939.0,43.0,61.0,2.0,167.0
3,1915.0,32.0,85.0,3.0,199.0
4,1899.0,19.0,101.0,4.0,218.0
5,1891.0,18.0,109.0,5.0,236.0
6,1880.0,10.0,120.0,6.0,246.0
7,1876.0,11.0,124.0,7.0,257.0
8,1871.0,5.0,129.0,8.0,262.0
9,1868.0,2.0,132.0,9.0,264.0
10,1867.0,2.0,133.0,10.0,266.0
11,1866.0,1.0,134.0,11.0,267.0
12,1866.0,1.0,134.0,12.0,268.0
13,1865.0,1.0,135.0,13.0,269.0
14,1865.0,0.0,135.0,14.0,269.0
15,1865.0,0.0,135.0,15.0,269.0
16,1865.0,0.0,135.0,16.0,269.0
17,1865.0,0.0,135.0,17.0,269.0
18,1865.0,0.0,135.0,18.0,269.0
19,1865.0,0.0,135.0,19.0,269.0
20,1865.0,0.0,135.0,20.0,269.0
